2017-11-13 15:03:13,011 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:03:13,015 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:03:13,017 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:03:39,028 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:03:39,030 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:03:39,035 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:03:39,038 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:06:31,959 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:06:31,962 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:06:31,967 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:06:31,969 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:08:04,593 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:08:04,595 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:08:04,597 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:08:04,601 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:08:09,331 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:08:09,334 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:08:09,336 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:08:09,338 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:10:04,980 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:10:04,983 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:10:04,986 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:10:04,989 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:11:18,143 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:11:18,145 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:11:18,147 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:11:18,149 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:11:56,596 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:11:56,598 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:11:56,600 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:11:56,603 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:14:05,947 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:14:05,950 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:14:05,956 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:14:05,958 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:14:18,270 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:14:18,272 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:14:18,275 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:14:18,277 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:15:12,749 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:15:12,751 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:15:12,754 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:15:12,755 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:17:00,741 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:17:00,744 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:17:00,746 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:17:00,748 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:18:45,682 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:18:45,684 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:18:45,686 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:18:45,689 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:19:22,856 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:19:22,858 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:19:22,860 [Worker-52] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:19:22,862 [Worker-52] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:19:52,834 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:19:52,836 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:19:52,838 [Worker-54] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:19:52,841 [Worker-54] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:20:44,695 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:20:44,697 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/main/resources
2017-11-13 15:20:44,698 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-11-13 15:20:44,700 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/prova1/PP1-02-Prova-FloorCeilBinarySearch-environment/src/test/resources
2017-11-13 15:20:55,530 [Worker-56] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
