2018-10-25 12:45:11,817 [Worker-59: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:45:11,819 [Worker-59: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 12:45:11,821 [Worker-59: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:45:11,823 [Worker-59: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 12:45:43,506 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-10-25 12:45:48,915 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment
2018-10-25 12:45:48,916 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (1)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2018-10-25 12:48:02,317 [Worker-58: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:48:02,320 [Worker-58: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
2018-10-25 12:48:02,336 [Worker-58: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:48:02,338 [Worker-58: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/test/resources
2018-10-25 12:48:07,793 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2018-10-25 12:48:12,416 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (2)] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment
2018-10-25 12:48:12,416 [Worker-59: Launching PP2-02-Prova-StackParenthesis-environment (2)] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests install
2018-10-25 12:49:47,225 [Worker-60: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-25 12:49:47,228 [Worker-60: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/joaocfb/provapratica2/PP2-02-Prova-StackParenthesis-environment/src/main/resources
